team_id,t_original,club_id,club_name,final_name,final_team_name,final_club_name
40e392ed-2b81-46b2-adec-0748a0f81ea4,Podlasie Biała Podlaska,fff11425-c571-40bd-a1da-6a5e99c843c0,MKS Podlasie Biała Podlaska,Podlasie Biała Podlaska,Podlasie Biała Podlaska,Podlasie Biała Podlaska
fd703bf7-aa1f-421d-9e0b-7d51f601d57b,Podlasie Biała Podlaska,fff11425-c571-40bd-a1da-6a5e99c843c0,MKS Podlasie Biała Podlaska,Podlasie Biała Podlaska,Podlasie Biała Podlaska,Podlasie Biała Podlaska
d22fbdd7-c490-4a91-a9ff-1d0f0d68829e,Podlasie Biała Podlaska,fff11425-c571-40bd-a1da-6a5e99c843c0,MKS Podlasie Biała Podlaska,Podlasie Biała Podlaska,Podlasie Biała Podlaska,Podlasie Biała Podlaska
9f09c34f-3c6d-43c6-9649-b62ed9b24d36,Podlasie Biała Podlaska,fff11425-c571-40bd-a1da-6a5e99c843c0,MKS Podlasie Biała Podlaska,Podlasie Biała Podlaska,Podlasie Biała Podlaska,Podlasie Biała Podlaska
4cff315b-6822-42b5-ae2b-3e9aefa3f241,Podlasie Biała Podlaska,fff11425-c571-40bd-a1da-6a5e99c843c0,MKS Podlasie Biała Podlaska,Podlasie Biała Podlaska,Podlasie Biała Podlaska,Podlasie Biała Podlaska
7acdd1ff-80fc-47fc-9b9f-139a56a31337,Podlasie Biała Podlaska,fff11425-c571-40bd-a1da-6a5e99c843c0,MKS Podlasie Biała Podlaska,Podlasie Biała Podlaska,Podlasie Biała Podlaska,Podlasie Biała Podlaska
5f7ab2ba-29dd-4e46-b2fc-9575deece36d,Podlasie Biała Podlaska,fff11425-c571-40bd-a1da-6a5e99c843c0,MKS Podlasie Biała Podlaska,Podlasie Biała Podlaska,Podlasie Biała Podlaska,Podlasie Biała Podlaska
d3ca80c1-05c4-4224-b261-0befc0a33437,Podlasie Biała Podlaska,fff11425-c571-40bd-a1da-6a5e99c843c0,MKS Podlasie Biała Podlaska,Podlasie Biała Podlaska,Podlasie Biała Podlaska,Podlasie Biała Podlaska
6e45b83d-d6a7-43f3-a143-478ea00fbcb7,Podlasie Biała Podlaska.,fff11425-c571-40bd-a1da-6a5e99c843c0,MKS Podlasie Biała Podlaska,Podlasie Biała Podlaska,Podlasie Biała Podlaska,Podlasie Biała Podlaska
fe94b860-ad9e-4ac9-b35c-fbb0936b07f0,Podlasie II Biała Podlaska,fff11425-c571-40bd-a1da-6a5e99c843c0,MKS Podlasie Biała Podlaska,Podlasie II Biała Podlaska,Podlasie II Biała Podlaska,Podlasie Biała Podlaska
